Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Housing Units,Total Housing Units - Margin of Error,Occupied Housing Units,Occupied Housing Units - Margin of Error,Vacant Housing Units,Vacant Housing Units - Margin of Error,Percent of Housing Units that are Vacant (Vacancy Rate),Percent of Housing Units that are Vacant (Vacancy Rate) - Margin of Error,Percent of Total Housing Units (including Vacant) that are Owner-Occupied,Percent of Total Housing Units (including Vacant) that are Owner-Occupied - Margin of Error,Percent of Total Housing Units (including Vacant) that are Renter-Occupied,Percent of Total Housing Units (including Vacant) that are Renter-Occupied - Margin of Error,Total Occupied Housing Units,Total Occupied Housing Units - Margin of Error,Owner-Occupied Housing Units,Owner-Occupied Housing Units - Margin of Error,Renter-Occupied Housing Units,Renter-Occupied Housing Units - Margin of Error,Overall Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied,Overall Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied - Margin of Error,Overall Renter Rate: Percent of Occupied Housing Units that are Renter-Occupied,Overall Renter Rate: Percent of Occupied Housing Units that are Renter-Occupied - Margin of Error,Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Median Home Value (for Owner-Occupied Housing Units),Median Home Value (for Owner-Occupied Housing Units) - Margin of Error,Lower Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Lower Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Upper Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Upper Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Lower Home Value Quartile (for Owner-Occupied Housing Units),Lower Home Value Quartile (for Owner-Occupied Housing Units) - Margin of Error,Upper Home Value Quartile (for Owner-Occupied Housing Units),Upper Home Value Quartile (for Owner-Occupied Housing Units) - Margin of Error,Housing Units per Gross Land Acre,Gross Land Acre,Percent Owner-Occupied Housing Units,x,y
53033000300,1211013,0,Census Tract 3,Washington,King County,1221,100,1127,114,94,85,7.7,6.93289463290278,64.4,8.48765329059799,27.9,8.03457370508611,1127,114,786,122,341,102,69.7,8.21071998119175,30.3,8.51736221364694,1743,401,566200,29365,1319,160,2213,160,454600,36450,672700,24614,4.080230098066913,299.24782932670195,92.3013923013923,,
53033000402,1798938,0,Census Tract 4.02,Washington,King County,2717,461,2546,435,171,168,6.3,6.09038069827156,38.6,6.08228269960809,55.1,12.7746923702689,2546,435,1050,243,1496,430,41.2,6.43776096333635,58.8,13.5815510469608,1492,159,657800,38598,1235,129,1894,237,537400,34820,808000,79885,6.112111089798867,444.5272607257878,93.7062937062937,,
53033000500,2898252,953717,Census Tract 5,Washington,King County,1284,83,1263,87,21,23,1.6,1.78815462821548,89.3,6.32840532370497,9,4.87166395069115,1263,87,1147,110,116,63,90.8,6.05972269870358,9.2,4.94783965260509,2351,379,952700,50995,1985,447,2787,427,799500,40431,1187700,69735,1.7928612302731102,716.1736660479884,98.36448598130842,,
53033000700,1294438,0,Census Tract 7,Washington,King County,2433,232,2345,234,88,66,3.6,2.69068596968317,43.2,7.30315389595575,53.2,6.15300812706794,2345,234,1051,204,1294,194,44.8,7.46171718373092,55.2,6.17424050794976,1496,111,595200,52495,1262,85,1781,81,408200,97148,737700,72941,7.606391094590096,319.8625957756006,96.38306617344841,,
53033000800,1141931,0,Census Tract 8,Washington,King County,1153,128,1144,127,9,15,0.8,1.29806482835667,77.5,7.81921378826715,21.8,6.1324853272005,1144,127,893,134,251,76,78.1,7.88079365591364,21.9,6.18073695917366,2043,215,681400,53017,1571,264,2388,164,548800,38533,847200,64340,4.086083533091853,282.1772953641869,99.2194275802255,,
53033000900,1004853,1849039,Census Tract 9,Washington,King County,963,103,892,111,71,37,7.4,3.76036465149506,73.8,9.36935705850327,18.8,6.22552389842365,892,111,711,118,181,63,79.7,8.75295407664041,20.3,6.59597854266744,1441,288,997800,99758,1121,192,2268,1286,732700,114094,1357400,128954,3.878301338375988,248.30458388343015,92.62720664589823,,
53033001000,954203,0,Census Tract 10,Washington,King County,769,81,769,81,0,13,0,1.69050715214564,68.5,7.30961225571397,31.5,6.48404205231914,769,81,527,79,242,56,68.5,7.30961225571397,31.5,6.48404205231914,1482,134,721400,52915,1291,97,1931,315,584100,27134,905100,47135,3.261394681032801,235.788696312118,100,,
53033001100,1060685,0,Census Tract 11,Washington,King County,1127,130,1076,153,51,55,4.5,4.8522160416884,66.2,7.2933252561094,29.3,12.7822150626423,1076,153,746,119,330,149,69.3,5.01242053515505,30.7,13.142971974138,1809,711,715400,48600,892,508,3222,2310,595800,30568,879900,48509,4.299869601290406,262.1009715415052,95.47471162377995,,
53033001300,1180877,0,Census Tract 13,Washington,King County,2554,224,2410,220,144,115,5.6,4.47550463252856,42.1,5.49160429939989,52.3,6.96678133289793,2410,220,1075,169,1335,213,44.6,5.70912099679608,55.4,7.2486409006512,1351,162,656600,38400,1042,108,1716,144,545700,35483,792800,97306,8.752538412391305,291.8010615508073,94.36178543461237,,
53033001400,2152767,213389,Census Tract 14,Washington,King County,2373,219,2248,232,125,127,5.3,5.32975043312564,61.7,8.35889065981151,33,5.53712478680628,2248,232,1464,240,784,150,65.1,8.29505560142481,34.9,5.61862939486285,1482,182,672800,47823,1216,104,1922,293,511500,63420,861300,52861,4.460859113111182,531.9603107449351,94.73240623683101,,
