Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Earnings of Total Full-Time Year-Round Civilian Employed Population 16 Years and Over with Earnings,Median Earnings of Total Full-Time Year-Round Civilian Employed Population 16 Years and Over with Earnings - Margin of Error,"Median Earnings of All Management, Business, Science, and Arts Occupations","Median Earnings of All Management, Business, Science, and Arts Occupations - Margin of Error","Median Earnings of All Management, Business, and Financial Occupations","Median Earnings of All Management, Business, and Financial Occupations - Margin of Error",Median Earnings of Management Occupations,Median Earnings of Management Occupations - Margin of Error,Median Earnings of Business and Financial Operations Occupations,Median Earnings of Business and Financial Operations Occupations - Margin of Error,"Median Earnings of All Computer, Engineering, and Science Occupations","Median Earnings of All Computer, Engineering, and Science Occupations - Margin of Error",Median Earnings of Computer and Mathematical Occupations,Median Earnings of Computer and Mathematical Occupations - Margin of Error,Median Earnings of Architecture and Engineering Occupations,Median Earnings of Architecture and Engineering Occupations - Margin of Error,"Median Earnings of Life, Physical, and Social Science Occupations","Median Earnings of Life, Physical, and Social Science Occupations - Margin of Error","Median Earnings of All Education, Legal, Community Service, Arts, and Media Occupations","Median Earnings of All Education, Legal, Community Service, Arts, and Media Occupations - Margin of Error",Median Earnings of Community and Social Service Occupations,Median Earnings of Community and Social Service Occupations - Margin of Error,Median Earnings of Legal Occupations,Median Earnings of Legal Occupations - Margin of Error,"Median Earnings of Educational Instruction, and Library Occupations","Median Earnings of Educational Instruction, and Library Occupations - Margin of Error","Median Earnings of Arts, Design, Entertainment, Sports, and Media Occupations","Median Earnings of Arts, Design, Entertainment, Sports, and Media Occupations - Margin of Error",Median Earnings of All Healthcare Practitioners and Technical Occupations,Median Earnings of All Healthcare Practitioners and Technical Occupations - Margin of Error,Median Earnings of Health Diagnosing and Treating Practitioners and Other Technical Occupations,Median Earnings of Health Diagnosing and Treating Practitioners and Other Technical Occupations - Margin of Error,Median Earnings of Health Technologists and Technicians Occupations,Median Earnings of Health Technologists and Technicians Occupations - Margin of Error,Median Earnings of All Service Occupations,Median Earnings of All Service Occupations - Margin of Error,Median Earnings of Healthcare Support Occupations,Median Earnings of Healthcare Support Occupations - Margin of Error,Median Earnings of All Protective Service Occupations,Median Earnings of All Protective Service Occupations - Margin of Error,"Median Earnings of Fire Fighting and Prevention, and Other Protective Service Workers including Supervisors","Median Earnings of Fire Fighting and Prevention, and Other Protective Service Workers including Supervisors - Margin of Error",Median Earnings of Law Enforcement Workers including Supervisors,Median Earnings of Law Enforcement Workers including Supervisors - Margin of Error,Median Earnings of Food Preparation and Serving Related Occupations,Median Earnings of Food Preparation and Serving Related Occupations - Margin of Error,Median Earnings of Building and Grounds Cleaning and Maintenance Occupations,Median Earnings of Building and Grounds Cleaning and Maintenance Occupations - Margin of Error,Median Earnings of Personal Care and Service Occupations,Median Earnings of Personal Care and Service Occupations - Margin of Error,Median Earnings of All Sales and Office Occupations,Median Earnings of All Sales and Office Occupations - Margin of Error,Median Earnings of Sales and Related Occupations,Median Earnings of Sales and Related Occupations - Margin of Error,Median Earnings of Office and Administrative Support Occupations,Median Earnings of Office and Administrative Support Occupations - Margin of Error,"Median Earnings of All Natural Resources, Construction, and Maintenance Occupations","Median Earnings of All Natural Resources, Construction, and Maintenance Occupations - Margin of Error","Median Earnings of Farming, Fishing, and Forestry Occupations","Median Earnings of Farming, Fishing, and Forestry Occupations - Margin of Error",Median Earnings of Construction and Extraction Occupations,Median Earnings of Construction and Extraction Occupations - Margin of Error,"Median Earnings of Installation, Maintenance, and Repair Occupations","Median Earnings of Installation, Maintenance, and Repair Occupations - Margin of Error","Median Earnings of All Production, Transportation, and Material Moving Occupations","Median Earnings of All Production, Transportation, and Material Moving Occupations - Margin of Error",Median Earnings of Production Occupations,Median Earnings of Production Occupations - Margin of Error,Median Earnings of Transportation Occupations,Median Earnings of Transportation Occupations - Margin of Error,Median Earnings of Material Moving Occupations,Median Earnings of Material Moving Occupations - Margin of Error,Occupation with Highest Median Earnings,Highest Median Earnings,x,y
53033000300,1211013,0,Census Tract 3,Washington,King County,77564,9426,84872,10909,94375,29692,103750,97541,80469,21881,97639,22480,136389,50760,104567,10411,83250,2812,76083,24739,,,,,76250,29927,250001,,93090,23815,125375,63384,92639,44894,37900,5212,,,,,,,,,31776,10765,,,,,53359,16936,60885,22155,46964,16677,84000,39190,,,84750,33963,59167,54130,34938,74306,34875,69257,89125,64869,,,"Computer, Engineering, and Science Occupations",97639,,
53033000402,1798938,0,Census Tract 4.02,Washington,King County,67787,14919,93620,17495,89531,42275,185521,8948,75809,24991,120333,36114,130982,43164,188173,100610,73021,26858,79894,25832,,,,,92943,52408,91786,316609,108250,88993,109125,85021,,,35348,3145,,,,,,,,,33673,14745,43750,14944,,,77527,22269,46058,47413,77879,13020,38750,95825,,,38750,95825,,,48500,7522,48425,1931,,,44673,45754,"Computer, Engineering, and Science Occupations",120333,,
53033000500,2898252,953717,Census Tract 5,Washington,King County,126957,13994,137614,14167,138333,24261,116786,49012,155833,51283,134000,39919,187344,50898,133500,39909,93750,35226,138472,23662,79583,36953,250001,,128250,25827,187917,165729,118194,40204,119306,48167,,,73333,66532,,,,,,,,,,,,,,,150714,84973,150893,146321,124875,96361,120125,74220,,,,,120125,74220,42361,49802,40972,54531,,,,,Sales and Office Occupations,150714,,
53033000700,1294438,0,Census Tract 7,Washington,King County,57948,18665,79674,16110,59773,55288,106528,41516,33750,14827,128511,31095,128165,32397,101042,34410,146277,13265,62174,9750,62120,19523,,,58984,24831,,,79091,159392,79091,159392,,,39083,10227,,,,,,,,,20662,31882,40298,11584,,,60396,24431,47875,39865,60915,19853,62702,54666,,,44421,22066,98250,1149,46284,5269,63729,27110,46284,463,,,"Computer, Engineering, and Science Occupations",128511,,
53033000800,1141931,0,Census Tract 8,Washington,King County,102228,11242,106700,13842,107100,17748,123750,60365,85156,63145,106250,24801,102418,55773,135833,51709,74271,30265,95781,51425,,,,,148438,52140,50385,29560,120234,84275,120234,84275,,,44583,113447,,,,,,,,,,,,,,,76458,87057,90000,42032,61719,188005,65156,66934,,,66406,158828,43750,63459,,,,,,,,,Healthcare Practitioners and Technical Occupations,120234,,
53033000900,1004853,1849039,Census Tract 9,Washington,King County,107895,16532,111034,6059,93917,15945,94167,13605,84375,51040,125625,30905,146250,23760,86750,34617,,,120536,21760,,,242500,190351,109000,84944,41875,360812,118125,190151,119688,244203,,,40781,40274,,,,,,,,,,,40469,32658,,,100833,54722,160000,70496,56667,12171,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",125625,,
53033001000,954203,0,Census Tract 10,Washington,King County,91780,10744,105536,7611,113281,18156,128594,13953,67143,68624,107857,22788,126071,11567,100625,39847,126406,30204,91607,11080,105208,25166,,,91250,15880,80469,24018,107083,98743,107083,98743,,,90250,64877,,,108333,34765,,,108333,34765,,,,,,,33947,8391,32829,7368,52750,25247,55938,84428,,,,,,,,,,,,,,,"Management, Business, and Financial Occupations",113281,,
53033001100,1060685,0,Census Tract 11,Washington,King County,69479,14808,94130,11446,116250,74899,150000,61642,96944,45216,101179,2857,132625,51084,101447,9618,92717,29026,51667,47004,,,,,73098,32727,88188,12830,76953,112289,76953,112289,,,34135,22158,,,,,,,,,31146,10089,,,,,55313,12338,57083,14382,42188,21978,50982,25017,,,51116,18641,,,,,,,,,,,"Management, Business, and Financial Occupations",116250,,
53033001300,1180877,0,Census Tract 13,Washington,King County,71875,9623,89922,16279,93750,24005,103855,17191,55833,4549,94670,23988,99779,31771,94511,59137,,,72456,7719,73792,35425,79110,9775,71190,455,,,131250,23645,131250,23645,,,31603,7197,26696,15870,,,,,,,35183,16364,,,,,44358,16079,43937,14590,54327,21439,,,,,,,,,33633,16481,,,,,,,Healthcare Practitioners and Technical Occupations,131250,,
53033001400,2152767,213389,Census Tract 14,Washington,King County,83889,23483,108944,22339,88125,40449,89625,76798,85735,27472,118681,43695,183733,39025,108654,16060,93382,23532,76438,49438,74407,2911,,,66786,99058,,,146038,12601,146038,12601,,,32438,31062,,,,,,,,,20667,19281,,,62849,21105,72014,58688,134205,17252,39500,28842,93988,17689,,,,,,,33263,6502,7417,29376,,,,,Healthcare Practitioners and Technical Occupations,146038,,
53033001500,1167711,526885,Census Tract 15,Washington,King County,83451,24857,115476,23954,160188,32462,137750,27653,187604,104418,116250,45713,62333,144244,153229,141467,116146,34923,72083,30971,34260,23236,,,80658,11600,84125,38292,106500,55553,117222,123374,,,43945,1802,,,,,,,,,45313,32614,,,,,75500,27816,76250,184286,51667,85280,115078,80955,,,,,,,55125,27013,79792,42030,72857,32803,,,"Management, Business, and Financial Occupations",160188,,
53033001600,2020358,320118,Census Tract 16,Washington,King County,121616,13189,126171,5707,152019,34534,153958,43987,121818,75620,157083,19047,158681,4736,79531,90328,,,106887,15211,,,250001,,187719,155629,105270,13076,129688,119080,215341,174541,98864,558,111176,92290,,,,,,,,,,,,,,,82663,11150,81548,70940,83533,13511,134097,47892,,,115500,94818,,,,,,,,,,,"Computer, Engineering, and Science Occupations",157083,,
53033001701,892768,0,Census Tract 17.01,Washington,King County,67317,6801,80732,14505,73214,27264,107885,25911,68731,13458,106115,4957,117132,4310,105428,51180,,,58125,14976,,,,,57813,14595,,,81433,6535,81616,5228,,,39558,3925,38646,1143,,,,,,,39524,16158,,,43403,80676,56944,18594,49292,55772,65081,16416,,,,,,,,,34973,13450,,,,,38831,17005,"Computer, Engineering, and Science Occupations",106115,,
53033001702,1280220,0,Census Tract 17.02,Washington,King County,70926,16460,83606,11338,89265,15613,92727,17491,84091,66478,94417,43993,72245,136206,82961,10423,112188,85933,56575,13369,56169,408,,,65605,17920,,,105107,74947,106214,15517,,,39349,7566,38958,8317,,,,,,,,,32321,24001,,,83969,31982,66406,96355,84123,26894,51429,10990,,,49635,6671,,,44651,15494,,,,,,,Healthcare Practitioners and Technical Occupations,105107,,
