Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,x,y
53033000300,1211013,0,Census Tract 3,Washington,King County,108258,4931,79205,77059,137321,20490,106487,3115,,,,,,,65167,48982,,,,,103173,71332,111053,14652,,,1127,114,121,66,1006,123,10.7,5.75467329861212,,
53033000402,1798938,0,Census Tract 4.02,Washington,King County,78956,3873,58828,56712,123772,49282,79745,29945,55247,8827,35492,19790,,,98750,61566,,,,,,,79119,12639,77917,27796,2546,435,176,73,2370,437,6.9,2.61267939075532,,
53033000500,2898252,953717,Census Tract 5,Washington,King County,150446,31612,,,185523,57333,202845,27227,118086,12303,,,,,192667,22112,,,,,141375,115086,148750,28811,,,1263,87,316,90,947,120,25,6.91433481594209,,
53033000700,1294438,0,Census Tract 7,Washington,King County,81200,13414,81875,19435,96133,23237,108507,50169,27159,20144,61756,25732,,,102813,65059,,,61250,43712,,,95816,24047,81836,22128,2345,234,380,145,1965,275,16.2,5.96819206690073,,
53033000800,1141931,0,Census Tract 8,Washington,King County,116250,26672,,,127006,66482,129844,86421,73813,27831,,,,,95781,24289,,,,,126553,594,121719,28140,,,1144,127,181,51,963,130,15.8,4.09745045976255,,
53033000900,1004853,1849039,Census Tract 9,Washington,King County,122778,20013,,,134286,52883,158000,68845,98958,31534,,,,,163750,83367,,,,,75694,30387,126058,23015,,,892,111,136,51,756,107,15.2,5.39351408898933,,
53033001000,954203,0,Census Tract 10,Washington,King County,118098,15483,90833,80514,138333,68719,128403,12723,57917,20013,,,,,72917,30887,,,,,140833,72656,127772,24750,175962,39444,769,81,219,76,550,72,28.5,9.41673253546817,,
53033001100,1060685,0,Census Tract 11,Washington,King County,128646,8710,,,130964,8276,163125,66358,85551,9007,,,,,130750,19843,,,,,,,132935,42041,54844,24330,1076,153,254,125,822,113,23.6,11.1216098136633,,
53033001300,1180877,0,Census Tract 13,Washington,King County,80804,7329,53846,12065,104490,8332,54808,13314,,,43109,12266,36667,19130,86250,38849,,,,,,,86131,17443,54114,22196,2410,220,231,130,2179,234,9.6,5.32275272021726,,
53033001400,2152767,213389,Census Tract 14,Washington,King County,109688,20224,,,139554,31521,104609,38151,56563,27077,,,,,,,,,,,,,109297,18101,250001,,2248,232,354,149,1894,250,15.7,6.4257854037647,,
