Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Commuters (Workers 16 Years and Over Who Did Not Work at Home),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home) - Margin of Error,Workers whose commute was less than 5 minutes,Workers whose commute was less than 5 minutes - Margin of Error,Workers whose commute was 5 to 9 minutes,Workers whose commute was 5 to 9 minutes - Margin of Error,Workers whose commute was 10 to 14 minutes,Workers whose commute was 10 to 14 minutes - Margin of Error,Workers whose commute was 15 to 19 minutes,Workers whose commute was 15 to 19 minutes - Margin of Error,Workers whose commute was 20 to 24 minutes,Workers whose commute was 20 to 24 minutes - Margin of Error,Workers whose commute was 25 to 29 minutes,Workers whose commute was 25 to 29 minutes - Margin of Error,Workers whose commute was 30 to 34 minutes,Workers whose commute was 30 to 34 minutes - Margin of Error,Workers whose commute was 35 to 39 minutes,Workers whose commute was 35 to 39 minutes - Margin of Error,Workers whose commute was 40 to 44 minutes,Workers whose commute was 40 to 44 minutes - Margin of Error,Workers whose commute was 45 to 59 minutes,Workers whose commute was 45 to 59 minutes - Margin of Error,Workers whose commute was 60 to 89 minutes,Workers whose commute was 60 to 89 minutes - Margin of Error,Workers whose commute was 90 minutes or more,Workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was less than 5 minutes,Percent of workers whose commute was less than 5 minutes - Margin of Error,Percent of workers whose commute was 5 to 9 minutes,Percent of workers whose commute was 5 to 9 minutes - Margin of Error,Percent of workers whose commute was 10 to 14 minutes,Percent of workers whose commute was 10 to 14 minutes - Margin of Error,Percent of workers whose commute was 15 to 19 minutes,Percent of workers whose commute was 15 to 19 minutes - Margin of Error,Percent of workers whose commute was 20 to 24 minutes,Percent of workers whose commute was 20 to 24 minutes - Margin of Error,Percent of workers whose commute was 25 to 29 minutes,Percent of workers whose commute was 25 to 29 minutes - Margin of Error,Percent of workers whose commute was 30 to 34 minutes,Percent of workers whose commute was 30 to 34 minutes - Margin of Error,Percent of workers whose commute was 35 to 39 minutes,Percent of workers whose commute was 35 to 39 minutes - Margin of Error,Percent of workers whose commute was 40 to 44 minutes,Percent of workers whose commute was 40 to 44 minutes - Margin of Error,Percent of workers whose commute was 45 to 59 minutes,Percent of workers whose commute was 45 to 59 minutes - Margin of Error,Percent of workers whose commute was 60 to 89 minutes,Percent of workers whose commute was 60 to 89 minutes - Margin of Error,Percent of workers whose commute was 90 minutes or more,Percent of workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was 45 minutes or more,x,y
53033000300,1211013,0,Census Tract 3,Washington,King County,1525,244,110,99,114,71,91,43,189,97,220,96,123,61,224,92,86,66,78,45,224,99,64,61,2,3,7.2,6.38839312997586,7.5,4.49948004998761,6,2.65311054025905,12.4,6.04366175926153,14.4,5.85664450599989,8.1,3.786110260633,14.7,5.55618997912393,5.6,4.23276651720157,5.1,2.83507011810585,14.7,6.05146587948022,4.2,3.94323734689981,0.1,0.195598984262318,19.01639344262295,,
53033000402,1798938,0,Census Tract 4.02,Washington,King County,2616,601,0,18,331,374,349,215,251,142,243,132,189,136,410,147,127,80,127,102,249,149,309,234,31,38,0,0.688073394495413,12.7,13.9979947349126,13.3,7.62576670499312,9.6,4.96040938017008,9.3,4.57237752398962,7.2,4.92669055692518,15.7,4.31408792922734,4.9,2.84746251181462,4.9,3.7361594866096,9.5,5.25921600086889,11.8,8.52339044135562,1.2,1.4268592708608,22.515290519877677,,
53033000500,2898252,953717,Census Tract 5,Washington,King County,1087,151,25,40,44,33,25,38,62,38,280,93,50,30,171,54,158,68,61,37,150,69,50,37,11,17,2.3,3.66595724628461,4,2.98334942641964,2.3,3.48123026471521,5.7,3.4048849463724,25.8,7.77142841706623,4.6,2.68490112721284,15.7,4.46132824235453,14.5,5.92092214093195,5.6,3.31339410122259,13.8,6.05138094439708,4.6,3.34335049204865,1,1.55760674442652,19.411223551057958,,
53033000700,1294438,0,Census Tract 7,Washington,King County,2868,474,33,50,90,80,225,132,443,209,601,201,293,135,583,245,54,52,237,202,203,112,65,60,41,45,1.2,1.73297250557496,3.1,2.74076097862804,7.8,4.41610209325958,15.4,6.82553029583215,21,6.0928264812158,10.2,4.3938657419767,20.3,7.85417060190891,1.9,1.78620675927191,8.3,6.90955282987349,7.1,3.72583111198855,2.3,2.05824467104137,1.4,1.55114694925715,10.774058577405858,,
53033000800,1141931,0,Census Tract 8,Washington,King County,1198,158,21,23,42,47,179,82,109,46,152,68,76,40,165,80,35,25,60,42,231,90,53,45,75,59,1.8,1.90589608780122,3.5,3.89586333115324,14.9,6.5549411839592,9.1,3.64741327073336,12.7,5.42386512376269,6.3,3.2323698864712,13.8,6.42599511424898,2.9,2.05093076267216,5,3.44305553762195,19.3,7.06900634164851,4.4,3.71066759087219,6.3,4.85516903761867,29.966611018363942,,
53033000900,1004853,1849039,Census Tract 9,Washington,King County,851,120,8,10,33,22,106,61,89,39,121,47,74,38,194,62,55,31,73,35,59,31,27,28,12,10,0.9,1.16758725344473,3.9,2.52670275203941,12.5,6.94951489629303,10.5,4.33908190274788,14.2,5.14613290213784,8.7,4.29368152364616,22.8,6.53801806415509,6.5,3.52693057565923,8.6,3.93090824865673,6.9,3.509136348403,3.2,3.25968807375581,1.4,1.15814284140684,11.515863689776733,,
53033001000,954203,0,Census Tract 10,Washington,King County,839,126,6,9,40,36,93,36,96,33,77,42,95,55,172,57,61,33,47,23,108,40,37,24,7,9,0.7,1.06731573993929,4.8,4.23066378490298,11.1,3.95474558159656,11.4,3.53803258982579,9.2,4.81248121412627,11.3,6.33103130577504,20.5,6.0561553687808,7.3,3.77866055694126,5.6,2.60907704911416,12.9,4.35805821571059,4.4,2.78282375800853,0.8,1.06536269956749,18.116805721096544,,
53033001100,1060685,0,Census Tract 11,Washington,King County,1313,224,0,13,24,30,149,96,174,65,327,141,126,66,185,91,38,37,94,58,122,63,64,47,10,16,0,0.99009900990099,1.8,2.26346376644138,11.3,7.05052840335564,13.3,4.40409481442131,24.9,9.86249436976559,9.6,4.75257905563073,14.1,6.50049735183185,2.9,2.77438183153253,7.2,4.24515876150102,9.3,4.52875946333578,4.9,3.48165875223192,0.8,1.21163648856582,14.927646610814927,,
53033001300,1180877,0,Census Tract 13,Washington,King County,2514,509,32,51,21,33,199,93,436,214,264,139,243,139,514,233,125,72,321,201,177,112,130,91,52,66,1.3,2.01220337900651,0.8,1.30170838992778,7.9,3.33409597185339,17.3,7.7543679172593,10.5,5.10390023886912,9.7,5.17110801820682,20.4,8.29228542437883,5,2.68120225684094,12.8,7.56574181863576,7,4.22084095573272,5.2,3.46501284291522,2.1,2.59168109087776,14.28003182179793,,
53033001400,2152767,213389,Census Tract 14,Washington,King County,2903,476,19,32,160,192,312,208,170,102,468,141,253,156,393,166,211,128,157,121,537,214,202,134,21,34,0.7,1.09707155759746,5.5,6.55181471138287,10.7,6.94490642489025,5.9,3.37985901612461,16.1,4.07473320494193,8.7,5.18026552512066,13.5,5.26979580330013,7.3,4.24511374450161,5.4,4.07267815617353,18.5,6.71878096739786,7,4.47268538871287,0.7,1.1651804872,26.179813985532206,,
53033001500,1167711,526885,Census Tract 15,Washington,King County,1305,294,0,13,154,111,122,52,67,41,86,47,92,53,306,140,48,37,106,52,279,124,45,32,0,13,0,0.996168582375479,11.8,8.07959000332906,9.3,3.38257686609688,5.1,2.92110207536087,6.6,3.28128699603472,7,3.73787323943226,23.4,9.33720850941309,3.7,2.71145489755226,8.1,3.53963575081845,21.4,8.19071685021594,3.4,2.32579655189335,0,0.996168582375479,24.82758620689655,,
53033001600,2020358,320118,Census Tract 16,Washington,King County,1808,171,49,40,56,34,221,100,306,108,230,80,103,59,223,87,129,75,118,75,227,78,124,55,22,29,2.7,2.19749014618439,3.1,1.85757355082124,12.2,5.40880059954344,16.9,5.75497641567337,12.7,4.25805687750819,5.7,3.21848443538198,12.3,4.66840329329799,7.1,4.09297308683856,6.5,4.10204582118445,12.6,4.14751363644224,6.9,2.97207203071791,1.2,1.59984826409159,20.63053097345133,,
