,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Mean Usual Hours Worked of Population Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Population Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Mean Usual Hours Worked of Men Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Men Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Mean Usual Hours Worked of Women Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Women Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Total Population 16 Years and Over,Total Population 16 Years and Over - Margin of Error,All Population in Labor Force,All Population in Labor Force - Margin of Error,All Population in Civilian Labor Force,All Population in Civilian Labor Force - Margin of Error,Employed Population in Civilian Labor Force,Employed Population in Civilian Labor Force - Margin of Error,Unemployed Population in Civilian Labor Force,Unemployed Population in Civilian Labor Force - Margin of Error,Population in Armed Forces,Population in Armed Forces - Margin of Error,Population 16 Years and Over Not in Labor Force,Population 16 Years and Over Not in Labor Force - Margin of Error,Percent Not in Labor Force,Percent Not in Labor Force - Margin of Error,Percent Unemployed,Percent Unemployed - Margin of Error,x,y,zip,tract
0,53033000300,1211013,0,Census Tract 3,Washington,King County,37.8,1.8,38.7,1.8,37.0,3.0,2422,319,1869,241,1869,241,1796,241,73,63,0,13,553,163,22.8,6.02072231178298,3.9,3.33294872831406,,,98133,53033000300
1,53033000402,1798938,0,Census Tract 4.02,Washington,King County,41.1,1.5,41.6,1.3,40.6,2.7,4610,686,3070,587,3070,587,2916,591,154,78,0,18,1540,412,33.4,7.42703734190533,5.0,2.35271993169965,,,98133,53033000402
2,53033000500,2898252,953717,Census Tract 5,Washington,King County,40.1,2.4,42.3,4.2,38.3,2.7,2644,236,1533,212,1533,212,1520,215,13,16,0,13,1111,194,42.0,6.30633071715285,0.8,1.03709579539279,,,98177,53033000500
3,53033000700,1294438,0,Census Tract 7,Washington,King County,38.5,1.4,39.4,2.7,37.5,1.6,4594,688,3631,616,3619,616,3407,621,212,101,12,19,963,268,21.0,4.91699191178287,5.9,2.60662603361909,,,98125,53033000700
4,53033000800,1141931,0,Census Tract 8,Washington,King County,35.6,1.7,37.1,2.2,33.6,3.7,2295,277,1668,252,1668,252,1607,246,61,52,0,13,627,135,27.3,4.871212763859,3.7,3.06815562582869,,,98125,53033000800
5,53033000900,1004853,1849039,Census Tract 9,Washington,King County,38.4,1.6,41.2,1.9,36.0,2.4,1840,216,1071,125,1071,125,1012,124,59,32,0,13,769,182,41.8,8.588782934517,5.5,2.91786262580769,,,98125,53033000900
6,53033001000,954203,0,Census Tract 10,Washington,King County,35.7,1.6,37.7,1.7,33.4,3.0,1654,209,1161,155,1161,155,1078,146,83,53,0,13,493,181,29.8,10.2746015009357,7.1,4.46414138308585,,,98125,53033001000
7,53033001100,1060685,0,Census Tract 11,Washington,King County,39.1,2.7,42.0,2.9,35.8,3.5,2300,255,1631,216,1615,218,1546,218,69,59,16,25,669,152,29.1,5.76846146422158,4.3,3.60744260156315,,,98125,53033001100
8,53033001300,1180877,0,Census Tract 13,Washington,King County,38.7,1.4,41.0,1.7,36.6,2.2,4277,567,3268,498,3268,498,3097,497,171,83,0,13,1009,280,23.6,5.75129326842051,5.2,2.41136426611217,,,98133,53033001300
9,53033001400,2152767,213389,Census Tract 14,Washington,King County,41.2,3.3,43.3,4.0,39.2,3.3,4424,594,3604,552,3604,552,3416,525,188,172,0,18,820,178,18.5,3.16149663580748,5.2,4.70512209965294,,,98133,53033001400
10,53033001500,1167711,526885,Census Tract 15,Washington,King County,41.1,1.4,45.4,2.3,35.9,1.8,2450,345,1615,278,1615,278,1592,279,23,23,0,13,835,155,34.1,4.12215793327836,1.4,1.40289056134408,,,98117,53033001500
11,53033001600,2020358,320118,Census Tract 16,Washington,King County,39.6,1.4,41.5,1.7,37.3,2.3,3699,446,2712,375,2712,375,2641,378,71,42,0,13,987,174,26.7,3.43172608231054,2.6,1.50576947328717,,,98117,53033001600
12,53033001701,892768,0,Census Tract 17.01,Washington,King County,38.5,1.4,38.8,1.9,38.2,1.9,3773,450,3308,412,3290,414,3214,407,76,63,18,29,465,159,12.3,3.94948612731279,2.3,1.89270176830047,,,98103,53033001701
