,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Workers 16 Years and Over,Total Workers 16 Years and Over - Margin of Error,"All Workers who commuted by car, truck, or van","All Workers who commuted by car, truck, or van - Margin of Error",Workers who drove alone,Workers who drove alone - Margin of Error,Workers who carpooled,Workers who carpooled - Margin of Error,All Workers who commuted by public transportation (excluding taxicab),All Workers who commuted by public transportation (excluding taxicab) - Margin of Error,Workers who commuted by bus,Workers who commuted by bus - Margin of Error,Workers who commuted by subway or elevated rail,Workers who commuted by subway or elevated rail - Margin of Error,Workers who commuted by long-distance train or commuter rail,Workers who commuted by long-distance train or commuter rail - Margin of Error,"Workers who commuted by light rail, streetcar or trolley (carro público in Puerto Rico)","Workers who commuted by light rail, streetcar or trolley (carro público in Puerto Rico) - Margin of Error",Workers who commuted by ferryboat,Workers who commuted by ferryboat - Margin of Error,Workers who commuted by taxicab,Workers who commuted by taxicab - Margin of Error,Workers who commuted by motorcycle,Workers who commuted by motorcycle - Margin of Error,Workers who commuted by bicycle,Workers who commuted by bicycle - Margin of Error,Workers who commuted by walking,Workers who commuted by walking - Margin of Error,Workers who commuted by other means,Workers who commuted by other means - Margin of Error,Workers who worked at home,Workers who worked at home - Margin of Error,Percent of workers who commuted by driving alone,Percent of workers who commuted by driving alone - Margin of Error,Percent of workers who commuted by carpooling,Percent of workers who commuted by carpooling - Margin of Error,Percent of workers who commuted by public transportation,Percent of workers who commuted by public transportation - Margin of Error,Percent of workers who commuted by bus,Percent of workers who commuted by bus - Margin of Error,"Percent of workers who commuted by light rail, streetcar or trolley","Percent of workers who commuted by light rail, streetcar or trolley - Margin of Error",Percent of workers who commuted by subway or elevated rail,Percent of workers who commuted by subway or elevated rail - Margin of Error,Percent of workers who commuted by long-distance train or commuter rail,Percent of workers who commuted by long-distance train or commuter rail - Margin of Error,Percent of workers who commuted by ferryboat,Percent of workers who commuted by ferryboat - Margin of Error,Percent of workers who commuted by taxicab,Percent of workers who commuted by taxicab - Margin of Error,Percent of workers who commuted by motorcycle,Percent of workers who commuted by motorcycle - Margin of Error,Percent of workers who commuted by bicycle,Percent of workers who commuted by bicycle - Margin of Error,Percent of workers who commuted by walking,Percent of workers who commuted by walking - Margin of Error,Percent of workers who commuted by other means,Percent of workers who commuted by other means - Margin of Error,Percent of workers who worked at home,Percent of workers who worked at home - Margin of Error,x,y,zip,tract
0,53033000300,1211013,0,Census Tract 3,Washington,King County,1761,238,1223,235,1102,230,121,69,166,68,166,68,0,13,0,13,0,13,0,13,25,35,10,18,0,13,101,89,0,13,236,84,62.6,9.95263199420223,6.9,3.8065936972087,9.4,3.64522759915537,9.4,3.64522759915537,0.0,0.738216922203294,0.0,0.738216922203294,0.0,0.738216922203294,0.0,0.738216922203294,1.4,1.97822442210716,0.6,1.01926123585709,0.0,0.738216922203294,5.7,4.9941501675887,0.0,0.738216922203294,13.4,4.41277226826277,,,98133,53033000300
1,53033000402,1798938,0,Census Tract 4.02,Washington,King County,2903,591,1886,505,1458,502,428,196,608,324,608,324,0,18,0,18,0,18,0,18,20,32,0,18,40,46,62,59,0,18,287,126,50.2,13.9457654656212,14.7,6.04777960608457,20.9,10.314309085641,20.9,10.314309085641,0.0,0.620048225973131,0.0,0.620048225973131,0.0,0.620048225973131,0.0,0.620048225973131,0.7,1.09334848514514,0.0,0.620048225973131,1.4,1.55954065956781,2.1,1.98532679707147,0.0,0.620048225973131,9.9,3.8454699084201,,,98133,53033000402
2,53033000500,2898252,953717,Census Tract 5,Washington,King County,1494,209,901,124,827,122,74,42,82,45,82,45,0,13,0,13,0,13,0,13,12,18,0,13,39,37,33,42,20,23,407,150,55.4,2.59191972723917,5.0,2.72451355460596,5.5,2.91253979503456,5.5,2.91253979503456,0.0,0.870147255689424,0.0,0.870147255689424,0.0,0.870147255689424,0.0,0.870147255689424,0.8,1.1995682021641,0.0,0.870147255689424,2.6,2.44950107566531,2.2,2.79421135467218,1.3,1.52805834141652,27.2,9.28876029591055,,,98177,53033000500
3,53033000700,1294438,0,Census Tract 7,Washington,King County,3384,613,2213,393,1915,400,298,169,450,157,447,158,0,18,3,10,0,18,0,18,0,18,17,28,124,122,64,63,0,18,516,323,56.6,5.88524469108311,8.8,4.73246868120644,13.3,3.9651164001892,13.2,4.00928082167162,0.0,0.531914893617021,0.0,0.531914893617021,0.1,0.295071594130438,0.0,0.531914893617021,0.0,0.531914893617021,0.5,0.822403684632004,3.7,3.54356818367632,1.9,1.82990824094779,0.0,0.531914893617021,15.2,9.13651439319825,,,98125,53033000700
4,53033000800,1141931,0,Census Tract 8,Washington,King County,1580,247,963,144,839,122,124,83,161,63,161,63,0,13,0,13,0,13,0,13,16,26,0,13,37,35,21,23,0,13,382,208,53.1,11.3372396439464,7.8,5.1078847722403,10.2,3.65531511883295,10.2,3.65531511883295,0.0,0.822784810126582,0.0,0.822784810126582,0.0,0.822784810126582,0.0,0.822784810126582,1.0,1.6379371061805,0.0,0.822784810126582,2.3,2.18473027226135,1.3,1.44079118447474,0.0,0.822784810126582,24.2,12.6103197414839,,,98125,53033000800
5,53033000900,1004853,1849039,Census Tract 9,Washington,King County,994,123,656,109,565,108,91,43,155,55,141,54,0,13,0,13,10,10,4,6,0,13,0,13,20,19,15,16,5,7,143,61,56.8,8.28131257443485,9.2,4.1749893481268,15.6,5.18584543673216,14.2,5.14120755471264,1.0,0.998304193137946,0.0,1.30784708249497,0.0,1.30784708249497,0.4,0.60156427423118,0.0,1.30784708249497,0.0,1.30784708249497,2.0,1.89518405138965,1.5,1.59878988283207,0.5,0.701469132917249,14.4,5.87294347939365,,,98125,53033000900
6,53033001000,954203,0,Census Tract 10,Washington,King County,1073,146,576,109,459,103,117,50,149,41,149,41,0,13,0,13,0,13,0,13,0,13,11,11,80,50,23,24,0,13,234,78,42.8,7.63325355312636,10.9,4.41732272313395,13.9,3.32120860123724,13.9,3.32120860123724,0.0,1.21155638397018,0.0,1.21155638397018,0.0,1.21155638397018,0.0,1.21155638397018,0.0,1.21155638397018,1.0,1.01562869130863,7.5,4.54806193017208,2.1,2.21762186895505,0.0,1.21155638397018,21.8,6.63612034940276,,,98125,53033001000
7,53033001100,1060685,0,Census Tract 11,Washington,King County,1527,217,1085,211,925,191,160,87,172,78,172,78,0,13,0,13,0,13,0,13,0,13,0,13,20,23,36,28,0,13,214,80,60.6,9.07468129703005,10.5,5.49942712489887,11.3,4.85077144229239,11.3,4.85077144229239,0.0,0.851342501637197,0.0,0.851342501637197,0.0,0.851342501637197,0.0,0.851342501637197,0.0,0.851342501637197,0.0,0.851342501637197,1.3,1.49467693124024,2.4,1.80279407843338,0.0,0.851342501637197,14.0,4.84572956796685,,,98125,53033001100
8,53033001300,1180877,0,Census Tract 13,Washington,King County,3009,478,1694,461,1434,410,260,118,659,196,659,196,0,13,0,13,0,13,0,13,0,13,0,13,78,119,83,83,0,13,495,194,47.7,11.3290566055724,8.6,3.67349398165867,21.9,5.50683539269396,21.9,5.50683539269396,0.0,0.432037221668328,0.0,0.432037221668328,0.0,0.432037221668328,0.0,0.432037221668328,0.0,0.432037221668328,0.0,0.432037221668328,2.6,3.93330498344841,2.8,2.72336444468363,0.0,0.432037221668328,16.5,5.8939524980069,,,98133,53033001300
9,53033001400,2152767,213389,Census Tract 14,Washington,King County,3404,528,2150,400,1722,297,428,250,498,214,480,212,0,18,0,18,18,30,0,18,0,18,100,154,52,58,90,102,13,21,501,181,50.6,3.81512469195516,12.6,7.08061678736208,14.6,5.8628771594386,14.1,5.83125747829578,0.5,0.877491054786447,0.0,0.528789659224442,0.0,0.528789659224442,0.0,0.528789659224442,0.0,0.528789659224442,2.9,4.50108261589872,1.5,1.68732150125796,2.6,2.9682777794295,0.4,0.614070637157342,14.7,4.80225284870798,,,98133,53033001400
