,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Earnings of Total Full-Time Year-Round Civilian Employed Population 16 Years and Over with Earnings,Median Earnings of Total Full-Time Year-Round Civilian Employed Population 16 Years and Over with Earnings - Margin of Error,"Median Earnings of All Management, Business, Science, and Arts Occupations","Median Earnings of All Management, Business, Science, and Arts Occupations - Margin of Error","Median Earnings of All Management, Business, and Financial Occupations","Median Earnings of All Management, Business, and Financial Occupations - Margin of Error",Median Earnings of Management Occupations,Median Earnings of Management Occupations - Margin of Error,Median Earnings of Business and Financial Operations Occupations,Median Earnings of Business and Financial Operations Occupations - Margin of Error,"Median Earnings of All Computer, Engineering, and Science Occupations","Median Earnings of All Computer, Engineering, and Science Occupations - Margin of Error",Median Earnings of Computer and Mathematical Occupations,Median Earnings of Computer and Mathematical Occupations - Margin of Error,Median Earnings of Architecture and Engineering Occupations,Median Earnings of Architecture and Engineering Occupations - Margin of Error,"Median Earnings of Life, Physical, and Social Science Occupations","Median Earnings of Life, Physical, and Social Science Occupations - Margin of Error","Median Earnings of All Education, Legal, Community Service, Arts, and Media Occupations","Median Earnings of All Education, Legal, Community Service, Arts, and Media Occupations - Margin of Error",Median Earnings of Community and Social Service Occupations,Median Earnings of Community and Social Service Occupations - Margin of Error,Median Earnings of Legal Occupations,Median Earnings of Legal Occupations - Margin of Error,"Median Earnings of Educational Instruction, and Library Occupations","Median Earnings of Educational Instruction, and Library Occupations - Margin of Error","Median Earnings of Arts, Design, Entertainment, Sports, and Media Occupations","Median Earnings of Arts, Design, Entertainment, Sports, and Media Occupations - Margin of Error",Median Earnings of All Healthcare Practitioners and Technical Occupations,Median Earnings of All Healthcare Practitioners and Technical Occupations - Margin of Error,Median Earnings of Health Diagnosing and Treating Practitioners and Other Technical Occupations,Median Earnings of Health Diagnosing and Treating Practitioners and Other Technical Occupations - Margin of Error,Median Earnings of Health Technologists and Technicians Occupations,Median Earnings of Health Technologists and Technicians Occupations - Margin of Error,Median Earnings of All Service Occupations,Median Earnings of All Service Occupations - Margin of Error,Median Earnings of Healthcare Support Occupations,Median Earnings of Healthcare Support Occupations - Margin of Error,Median Earnings of All Protective Service Occupations,Median Earnings of All Protective Service Occupations - Margin of Error,"Median Earnings of Fire Fighting and Prevention, and Other Protective Service Workers including Supervisors","Median Earnings of Fire Fighting and Prevention, and Other Protective Service Workers including Supervisors - Margin of Error",Median Earnings of Law Enforcement Workers including Supervisors,Median Earnings of Law Enforcement Workers including Supervisors - Margin of Error,Median Earnings of Food Preparation and Serving Related Occupations,Median Earnings of Food Preparation and Serving Related Occupations - Margin of Error,Median Earnings of Building and Grounds Cleaning and Maintenance Occupations,Median Earnings of Building and Grounds Cleaning and Maintenance Occupations - Margin of Error,Median Earnings of Personal Care and Service Occupations,Median Earnings of Personal Care and Service Occupations - Margin of Error,Median Earnings of All Sales and Office Occupations,Median Earnings of All Sales and Office Occupations - Margin of Error,Median Earnings of Sales and Related Occupations,Median Earnings of Sales and Related Occupations - Margin of Error,Median Earnings of Office and Administrative Support Occupations,Median Earnings of Office and Administrative Support Occupations - Margin of Error,"Median Earnings of All Natural Resources, Construction, and Maintenance Occupations","Median Earnings of All Natural Resources, Construction, and Maintenance Occupations - Margin of Error","Median Earnings of Farming, Fishing, and Forestry Occupations","Median Earnings of Farming, Fishing, and Forestry Occupations - Margin of Error",Median Earnings of Construction and Extraction Occupations,Median Earnings of Construction and Extraction Occupations - Margin of Error,"Median Earnings of Installation, Maintenance, and Repair Occupations","Median Earnings of Installation, Maintenance, and Repair Occupations - Margin of Error","Median Earnings of All Production, Transportation, and Material Moving Occupations","Median Earnings of All Production, Transportation, and Material Moving Occupations - Margin of Error",Median Earnings of Production Occupations,Median Earnings of Production Occupations - Margin of Error,Median Earnings of Transportation Occupations,Median Earnings of Transportation Occupations - Margin of Error,Median Earnings of Material Moving Occupations,Median Earnings of Material Moving Occupations - Margin of Error,Occupation with Highest Median Earnings,Highest Median Earnings,x,y,zip,tract
0,53033000300,1211013,0,Census Tract 3,Washington,King County,77564,9426,84872,10909,94375.0,29692.0,103750.0,97541.0,80469.0,21881.0,97639.0,22480.0,136389.0,50760.0,104567.0,10411.0,83250.0,2812.0,76083.0,24739.0,,,,,76250.0,29927.0,250001.0,,93090.0,23815.0,125375.0,63384.0,92639.0,44894.0,37900.0,5212.0,,,,,,,,,31776.0,10765.0,,,,,53359.0,16936.0,60885.0,22155.0,46964.0,16677.0,84000.0,39190.0,,,84750.0,33963.0,59167.0,54130.0,34938.0,74306.0,34875.0,69257.0,89125.0,64869.0,,,"Computer, Engineering, and Science Occupations",97639,,,98133,53033000300
1,53033000402,1798938,0,Census Tract 4.02,Washington,King County,67787,14919,93620,17495,89531.0,42275.0,185521.0,8948.0,75809.0,24991.0,120333.0,36114.0,130982.0,43164.0,188173.0,100610.0,73021.0,26858.0,79894.0,25832.0,,,,,92943.0,52408.0,91786.0,316609.0,108250.0,88993.0,109125.0,85021.0,,,35348.0,3145.0,,,,,,,,,33673.0,14745.0,43750.0,14944.0,,,77527.0,22269.0,46058.0,47413.0,77879.0,13020.0,38750.0,95825.0,,,38750.0,95825.0,,,48500.0,7522.0,48425.0,1931.0,,,44673.0,45754.0,"Computer, Engineering, and Science Occupations",120333,,,98133,53033000402
2,53033000500,2898252,953717,Census Tract 5,Washington,King County,126957,13994,137614,14167,138333.0,24261.0,116786.0,49012.0,155833.0,51283.0,134000.0,39919.0,187344.0,50898.0,133500.0,39909.0,93750.0,35226.0,138472.0,23662.0,79583.0,36953.0,250001.0,,128250.0,25827.0,187917.0,165729.0,118194.0,40204.0,119306.0,48167.0,,,73333.0,66532.0,,,,,,,,,,,,,,,150714.0,84973.0,150893.0,146321.0,124875.0,96361.0,120125.0,74220.0,,,,,120125.0,74220.0,42361.0,49802.0,40972.0,54531.0,,,,,Sales and Office Occupations,150714,,,98177,53033000500
3,53033000700,1294438,0,Census Tract 7,Washington,King County,57948,18665,79674,16110,59773.0,55288.0,106528.0,41516.0,33750.0,14827.0,128511.0,31095.0,128165.0,32397.0,101042.0,34410.0,146277.0,13265.0,62174.0,9750.0,62120.0,19523.0,,,58984.0,24831.0,,,79091.0,159392.0,79091.0,159392.0,,,39083.0,10227.0,,,,,,,,,20662.0,31882.0,40298.0,11584.0,,,60396.0,24431.0,47875.0,39865.0,60915.0,19853.0,62702.0,54666.0,,,44421.0,22066.0,98250.0,1149.0,46284.0,5269.0,63729.0,27110.0,46284.0,463.0,,,"Computer, Engineering, and Science Occupations",128511,,,98125,53033000700
4,53033000800,1141931,0,Census Tract 8,Washington,King County,102228,11242,106700,13842,107100.0,17748.0,123750.0,60365.0,85156.0,63145.0,106250.0,24801.0,102418.0,55773.0,135833.0,51709.0,74271.0,30265.0,95781.0,51425.0,,,,,148438.0,52140.0,50385.0,29560.0,120234.0,84275.0,120234.0,84275.0,,,44583.0,113447.0,,,,,,,,,,,,,,,76458.0,87057.0,90000.0,42032.0,61719.0,188005.0,65156.0,66934.0,,,66406.0,158828.0,43750.0,63459.0,,,,,,,,,Healthcare Practitioners and Technical Occupations,120234,,,98125,53033000800
5,53033000900,1004853,1849039,Census Tract 9,Washington,King County,107895,16532,111034,6059,93917.0,15945.0,94167.0,13605.0,84375.0,51040.0,125625.0,30905.0,146250.0,23760.0,86750.0,34617.0,,,120536.0,21760.0,,,242500.0,190351.0,109000.0,84944.0,41875.0,360812.0,118125.0,190151.0,119688.0,244203.0,,,40781.0,40274.0,,,,,,,,,,,40469.0,32658.0,,,100833.0,54722.0,160000.0,70496.0,56667.0,12171.0,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",125625,,,98125,53033000900
6,53033001000,954203,0,Census Tract 10,Washington,King County,91780,10744,105536,7611,113281.0,18156.0,128594.0,13953.0,67143.0,68624.0,107857.0,22788.0,126071.0,11567.0,100625.0,39847.0,126406.0,30204.0,91607.0,11080.0,105208.0,25166.0,,,91250.0,15880.0,80469.0,24018.0,107083.0,98743.0,107083.0,98743.0,,,90250.0,64877.0,,,108333.0,34765.0,,,108333.0,34765.0,,,,,,,33947.0,8391.0,32829.0,7368.0,52750.0,25247.0,55938.0,84428.0,,,,,,,,,,,,,,,"Management, Business, and Financial Occupations",113281,,,98125,53033001000
7,53033001100,1060685,0,Census Tract 11,Washington,King County,69479,14808,94130,11446,116250.0,74899.0,150000.0,61642.0,96944.0,45216.0,101179.0,2857.0,132625.0,51084.0,101447.0,9618.0,92717.0,29026.0,51667.0,47004.0,,,,,73098.0,32727.0,88188.0,12830.0,76953.0,112289.0,76953.0,112289.0,,,34135.0,22158.0,,,,,,,,,31146.0,10089.0,,,,,55313.0,12338.0,57083.0,14382.0,42188.0,21978.0,50982.0,25017.0,,,51116.0,18641.0,,,,,,,,,,,"Management, Business, and Financial Occupations",116250,,,98125,53033001100
8,53033001300,1180877,0,Census Tract 13,Washington,King County,71875,9623,89922,16279,93750.0,24005.0,103855.0,17191.0,55833.0,4549.0,94670.0,23988.0,99779.0,31771.0,94511.0,59137.0,,,72456.0,7719.0,73792.0,35425.0,79110.0,9775.0,71190.0,455.0,,,131250.0,23645.0,131250.0,23645.0,,,31603.0,7197.0,26696.0,15870.0,,,,,,,35183.0,16364.0,,,,,44358.0,16079.0,43937.0,14590.0,54327.0,21439.0,,,,,,,,,33633.0,16481.0,,,,,,,Healthcare Practitioners and Technical Occupations,131250,,,98133,53033001300
9,53033001400,2152767,213389,Census Tract 14,Washington,King County,83889,23483,108944,22339,88125.0,40449.0,89625.0,76798.0,85735.0,27472.0,118681.0,43695.0,183733.0,39025.0,108654.0,16060.0,93382.0,23532.0,76438.0,49438.0,74407.0,2911.0,,,66786.0,99058.0,,,146038.0,12601.0,146038.0,12601.0,,,32438.0,31062.0,,,,,,,,,20667.0,19281.0,,,62849.0,21105.0,72014.0,58688.0,134205.0,17252.0,39500.0,28842.0,93988.0,17689.0,,,,,,,33263.0,6502.0,7417.0,29376.0,,,,,Healthcare Practitioners and Technical Occupations,146038,,,98133,53033001400
