,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,x,y,zip,tract
0,53033000300,1211013,0,Census Tract 3,Washington,King County,108258.0,4931.0,79205.0,77059.0,137321.0,20490.0,106487.0,3115.0,,,,,,,65167.0,48982.0,,,,,103173.0,71332.0,111053.0,14652.0,,,1127,114,121,66,1006,123,10.7,5.75467329861212,,,98133,53033000300
1,53033000402,1798938,0,Census Tract 4.02,Washington,King County,78956.0,3873.0,58828.0,56712.0,123772.0,49282.0,79745.0,29945.0,55247.0,8827.0,35492.0,19790.0,,,98750.0,61566.0,,,,,,,79119.0,12639.0,77917.0,27796.0,2546,435,176,73,2370,437,6.9,2.61267939075532,,,98133,53033000402
2,53033000500,2898252,953717,Census Tract 5,Washington,King County,150446.0,31612.0,,,185523.0,57333.0,202845.0,27227.0,118086.0,12303.0,,,,,192667.0,22112.0,,,,,141375.0,115086.0,148750.0,28811.0,,,1263,87,316,90,947,120,25.0,6.91433481594209,,,98177,53033000500
3,53033000700,1294438,0,Census Tract 7,Washington,King County,81200.0,13414.0,81875.0,19435.0,96133.0,23237.0,108507.0,50169.0,27159.0,20144.0,61756.0,25732.0,,,102813.0,65059.0,,,61250.0,43712.0,,,95816.0,24047.0,81836.0,22128.0,2345,234,380,145,1965,275,16.2,5.96819206690073,,,98125,53033000700
4,53033000800,1141931,0,Census Tract 8,Washington,King County,116250.0,26672.0,,,127006.0,66482.0,129844.0,86421.0,73813.0,27831.0,,,,,95781.0,24289.0,,,,,126553.0,594.0,121719.0,28140.0,,,1144,127,181,51,963,130,15.8,4.09745045976255,,,98125,53033000800
5,53033000900,1004853,1849039,Census Tract 9,Washington,King County,122778.0,20013.0,,,134286.0,52883.0,158000.0,68845.0,98958.0,31534.0,,,,,163750.0,83367.0,,,,,75694.0,30387.0,126058.0,23015.0,,,892,111,136,51,756,107,15.2,5.39351408898933,,,98125,53033000900
6,53033001000,954203,0,Census Tract 10,Washington,King County,118098.0,15483.0,90833.0,80514.0,138333.0,68719.0,128403.0,12723.0,57917.0,20013.0,,,,,72917.0,30887.0,,,,,140833.0,72656.0,127772.0,24750.0,175962.0,39444.0,769,81,219,76,550,72,28.5,9.41673253546817,,,98125,53033001000
7,53033001100,1060685,0,Census Tract 11,Washington,King County,128646.0,8710.0,,,130964.0,8276.0,163125.0,66358.0,85551.0,9007.0,,,,,130750.0,19843.0,,,,,,,132935.0,42041.0,54844.0,24330.0,1076,153,254,125,822,113,23.6,11.1216098136633,,,98125,53033001100
8,53033001300,1180877,0,Census Tract 13,Washington,King County,80804.0,7329.0,53846.0,12065.0,104490.0,8332.0,54808.0,13314.0,,,43109.0,12266.0,36667.0,19130.0,86250.0,38849.0,,,,,,,86131.0,17443.0,54114.0,22196.0,2410,220,231,130,2179,234,9.6,5.32275272021726,,,98133,53033001300
9,53033001400,2152767,213389,Census Tract 14,Washington,King County,109688.0,20224.0,,,139554.0,31521.0,104609.0,38151.0,56563.0,27077.0,,,,,,,,,,,,,109297.0,18101.0,250001.0,,2248,232,354,149,1894,250,15.7,6.4257854037647,,,98133,53033001400
