zip,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
98126,53033009900,SEATTLE,WA,0.2038552464,0.2657534247,0.3266666667,0.2119033687
98126,53033011401,SEATTLE,WA,0.0093653392,0.0109589041,0.0033333333,0.0091114269
98126,53033010701,SEATTLE,WA,0.0403709765,0.0109589041,0.0016666667,0.0375323915
98126,53033010702,SEATTLE,WA,0.1693035097,0.0712328767,0.14,0.1648415949
98126,53033011402,SEATTLE,WA,0.0649208947,0.1452054795,0.1083333333,0.0695477723
98126,53033009600,SEATTLE,WA,0.0205491908,0.0301369863,0.0533333333,0.0224859985
98126,53033011500,SEATTLE,WA,0.1819421713,0.1315068493,0.085,0.1755412522
98126,53033012000,SEATTLE,WA,0.0320058192,0.0082191781,0.0033333333,0.0298420129
98117,53033003500,SEATTLE,WA,0.0015658642,0,0,0.0014699577
98117,53033001400,SEATTLE,WA,0.0333398578,0.0360934183,0.0245746692,0.0331352974
98117,53033001500,SEATTLE,WA,0.0736608599,0.0021231423,0.0396975425,0.0704967232
98117,53033003100,SEATTLE,WA,0.1802048672,0.101910828,0.0982986767,0.1752924603
98117,53033002900,SEATTLE,WA,0.1077836498,0.0891719745,0.0945179584,0.106816929
98117,53033001600,SEATTLE,WA,0.0980622431,0.1486199575,0.1512287335,0.1012433393
98117,53033003000,SEATTLE,WA,0.1859463692,0.2547770701,0.179584121,0.1877258529
98117,53033001701,SEATTLE,WA,0.0169635284,0.0658174098,0.0302457467,0.0188032094
98117,53033003400,SEATTLE,WA,0.0349057219,0.067940552,0.0302457467,0.0357077234
98117,53033001702,SEATTLE,WA,0.0929079402,0.0806794055,0.0907372401,0.0924848411
98109,53033006800,SEATTLE,WA,0.0403745348,0.091503268,0.0538720539,0.0454809897
98109,53033006500,SEATTLE,WA,0,0.0004084967,0,3.42219636562745e-05
98109,53033006600,SEATTLE,WA,0.0008403025,0.0330882353,0.0168350168,0.0045172992
98109,53033006000,SEATTLE,WA,0.098955624,0.1303104575,0.1835016835,0.1067383046
98115,53033004600,SEATTLE,WA,0,0.0013764625,0,6.99031840900353e-05
98115,53033000900,SEATTLE,WA,0.0068085437,0.0006882312,0.0013745704,0.0062213834
98115,53033004000,SEATTLE,WA,0.0633000039,0.0557467309,0.0625429553,0.0628779141
98115,53033004301,SEATTLE,WA,0.0240438859,0.0130763937,0.0797250859,0.0263185488
98115,53033002100,SEATTLE,WA,0.0809244057,0.0316586373,0.0666666667,0.0776973891
98115,53033002400,SEATTLE,WA,0.0688635568,0.2525808672,0.0426116838,0.0768585509
98115,53033001900,SEATTLE,WA,0.0578142629,0.1273227805,0.0508591065,0.0609905281
98115,53033003800,SEATTLE,WA,0.0404232969,0.0254645561,0.0364261168,0.0394603474
98115,53033003900,SEATTLE,WA,0.0462980975,0.0220233999,0.0309278351,0.0442836671
98115,53033002500,SEATTLE,WA,0.0530288293,0.0309704061,0.0549828179,0.052007969
98115,53033002700,SEATTLE,WA,0.0360658289,0.0192704749,0.018556701,0.0343224634
98115,53033002000,SEATTLE,WA,0.068591215,0.0612525809,0.0412371134,0.066827444
98115,53033004500,SEATTLE,WA,0.0017507684,0,0,0.0015728216
98115,53033001100,SEATTLE,WA,0.0007392133,0.0006882312,0,0.0006990318
98115,53033002200,SEATTLE,WA,0.0761000661,0.0137646249,0.0178694158,0.0699730873
98115,53033002600,SEATTLE,WA,0.0946971171,0.0860289057,0.1085910653,0.0949634756
98119,53033005801,SEATTLE,WA,0.0443363256,0.1351851852,0.0752688172,0.0528573085
98119,53033006800,SEATTLE,WA,0.0374837251,0.0472222222,0.0297280202,0.0373826359
98119,53033006900,SEATTLE,WA,0.1636401014,0.037962963,0.1537001898,0.1548626405
98119,53033006000,SEATTLE,WA,0.0460494758,0.0111111111,0.0575585073,0.0449171207
98104,53033008200,SEATTLE,WA,0.1344462541,0.0147216274,0.0270833333,0.0961663771
98104,53033009300,SEATTLE,WA,0.0628664495,0.0762847966,0.0625,0.0655408341
98104,53033008300,SEATTLE,WA,0.0705211726,0.034261242,0.0220833333,0.0568527368
98104,53033009100,SEATTLE,WA,0.175,0.0968950749,0.1683333333,0.1582862728
98104,53033008600,SEATTLE,WA,8.14332247557003e-05,0,0.00375,0.0005430061
98104,53033008500,SEATTLE,WA,0.2142508143,0.0778907923,0.2441666667,0.1904865334
98104,53033009200,SEATTLE,WA,0.2008957655,0.2186830835,0.3020833333,0.2176911381
98105,53033005100,SEATTLE,WA,0.0047844623,0,0.0045495905,0.0044642857
98105,53033004600,SEATTLE,WA,0.0008526765,0,0,0.0007239382
98105,53033004302,SEATTLE,WA,0.1001894837,0.059125964,0.178343949,0.1045286358
98105,53033004301,SEATTLE,WA,0.0545712932,0.1535989717,0.2338489536,0.0766167954
98105,53033004500,SEATTLE,WA,0.0462813832,0.0276349614,0.0109190173,0.041988417
98139,53033005600,SEATTLE,WA,1,1,1,1
98199,53033005600,SEATTLE,WA,0.2757915246,0.136738056,0.0327868852,0.2543532877
98199,53033005700,SEATTLE,WA,0.2938139308,0.2751235585,0.2339791356,0.2893528545
98199,53033005801,SEATTLE,WA,0.2528007793,0.510708402,0.4411326379,0.2773109244
98116,53033009701,SEATTLE,WA,0.2117647059,0.0466970387,0.2962962963,0.2097102038
98116,53033009600,SEATTLE,WA,0.190960452,0.0876993166,0.2770061728,0.1921714385
98116,53033009702,SEATTLE,WA,0.1606513792,0.006833713,0.0300925926,0.1429815901
98144,53033010002,SEATTLE,WA,0.1198988389,0.0994263862,0.1228733459,0.1190654486
98144,53033007800,SEATTLE,WA,0.0003448672,0,0,0.0002995357
98144,53033009100,SEATTLE,WA,0.0041958846,0.0028680688,0.0006301197,0.0038440417
98144,53033010001,SEATTLE,WA,0.0429934475,0.0439770554,0.0252047889,0.041635465
98144,53033009500,SEATTLE,WA,0.2233015289,0.1596558317,0.1253938248,0.2122210574
98144,53033008900,SEATTLE,WA,0.1627773307,0.1080305927,0.1814744802,0.1613998303
98144,53033009000,SEATTLE,WA,0.1412231291,0.3336520076,0.1814744802,0.1544605861
98144,53033009300,SEATTLE,WA,0.0283365904,0.0028680688,0.0207939509,0.0264090659
98144,53033009400,SEATTLE,WA,0.200540292,0.2017208413,0.2942659105,0.2080275573
98177,53033001400,SEATTLE,WA,0.1200317965,0.0563380282,0.0655021834,0.1167507243
98177,53033000402,SEATTLE,WA,0.0367930956,0,0.0043668122,0.0348749866
98177,53033000500,SEATTLE,WA,0.15705201,0.0035211268,0.0305676856,0.1492649426
98177,53033001500,SEATTLE,WA,0.0003406768,0,0,0.000321923
98177,53033001702,SEATTLE,WA,0.0114694526,0.0176056338,0.0436681223,0.0124476875
98177,53033001600,SEATTLE,WA,0.050533727,0.0070422535,0,0.04796652
98146,53033011402,SEATTLE,WA,0.0593198886,0.5203252033,0.0016750419,0.0741885626
98146,53033012000,SEATTLE,WA,0.0792338199,0.0182926829,0.0083752094,0.0736476043
98146,53033012100,SEATTLE,WA,0.0926504092,0.0020325203,0.0150753769,0.085625966
98133,53033001701,SEATTLE,WA,0.0147278222,0.0143454871,0.0278947368,0.0155482264
98133,53033001300,SEATTLE,WA,0.0641520982,0.0771069934,0.1442105263,0.0700006731
98133,53033001702,SEATTLE,WA,0.0181706897,0.0155409444,0.0131578947,0.0177020933
98133,53033001900,SEATTLE,WA,7.65081672468536e-05,0,0,6.73083395032644e-05
98133,53033000402,SEATTLE,WA,0.0821315175,0.0591751345,0.1105263158,0.0826546409
98133,53033000300,SEATTLE,WA,0.0408171072,0.0251046025,0.0321052632,0.0393753786
98133,53033001400,SEATTLE,WA,0.0386366245,0.0203227735,0.0536842105,0.0385676785
98129,53033006000,SEATTLE,WA,0,1,0,1
98194,53033009300,SEATTLE,WA,0.0985915493,0.1680672269,0.5,0.1176470588
98194,53033009200,SEATTLE,WA,0.9014084507,0.8319327731,0.5,0.8823529412
98101,53033008200,SEATTLE,WA,0.1999554003,0.2699450693,0.1983333333,0.2143321065
98101,53033008002,SEATTLE,WA,0.0717312124,0.0533612346,0.0358333333,0.0655986144
98101,53033008300,SEATTLE,WA,0.1415297703,0.0154329061,0.2025,0.1193981381
98114,53033009100,SEATTLE,WA,1,1,1,1
98102,53033006500,SEATTLE,WA,0.1376834716,0.0515247108,0.1546065639,0.1359271226
98102,53033006100,SEATTLE,WA,0.1915018081,0.3932702419,0.2435745354,0.2060222581
98102,53033006600,SEATTLE,WA,0.1431610296,0.1577287066,0.1929616449,0.1494345719
98102,53033006200,SEATTLE,WA,0.0014358647,0.0010515247,0,0.0012565069
98178,53033011700,SEATTLE,WA,0.0036871725,0.0102739726,0.0025510204,0.0038216561
98106,53033009900,SEATTLE,WA,0.101076398,0.2348877375,0.100456621,0.1069384016
98106,53033010701,SEATTLE,WA,0.1124529623,0.0431778929,0.1726027397,0.1144187467
98106,53033011401,SEATTLE,WA,0.1544587381,0.0086355786,0.1753424658,0.1497595603
98106,53033010800,SEATTLE,WA,0.167498031,0.1122625216,0.0931506849,0.1588428364
98106,53033011200,SEATTLE,WA,0,0.0034542314,0,0.0001526601
98106,53033011402,SEATTLE,WA,0.1160409556,0.1744386874,0.1762557078,0.1236546828
98106,53033011300,SEATTLE,WA,0.2572853767,0.0880829016,0.101369863,0.2367758186
98112,53033006500,SEATTLE,WA,0.0252935083,0.0199004975,0.0335339639,0.0257677903
98112,53033006400,SEATTLE,WA,0.1142092541,0.0530679934,0.0533104041,0.1061423221
98112,53033006100,SEATTLE,WA,0.0089779006,0.0066334992,0.0060189166,0.0086142322
98112,53033007800,SEATTLE,WA,0.0383287293,0.0066334992,0.0025795357,0.0337827715
98112,53033007600,SEATTLE,WA,0.2168508287,0.1741293532,0.2957867584,0.2217977528
98112,53033006300,SEATTLE,WA,0.2530214088,0.3167495854,0.3619948409,0.2653932584
98112,53033006200,SEATTLE,WA,0.1424378453,0.0679933665,0.0343938091,0.1296629213
98112,53033007700,SEATTLE,WA,0.1219785912,0.2852404643,0.1238177128,0.1295131086
98124,53033009300,SEATTLE,WA,1,1,1,1
98121,53033008002,SEATTLE,WA,0.1573809228,0.1628853985,0.143533123,0.1565243871
98107,53033003400,SEATTLE,WA,0.0612922705,0.0060575467,0.0313751669,0.0535954888
98107,53033003500,SEATTLE,WA,0.0029589372,0,0,0.0024452318
98107,53033004800,SEATTLE,WA,0.1086352657,0.0979303382,0.062082777,0.1040970108
98125,53033000900,SEATTLE,WA,0.0347382602,0.0023529412,0.0043501903,0.0306720228
98125,53033002000,SEATTLE,WA,0.0012990762,0,0,0.0011298017
98125,53033001900,SEATTLE,WA,0.0286277906,0.0439215686,0.0125067972,0.0282031969
98125,53033000300,SEATTLE,WA,0.0084680523,0.0070588235,0.0010875476,0.0078249226
98125,53033002200,SEATTLE,WA,0.018908776,0,0.0005437738,0.0164867353
98125,53033001000,SEATTLE,WA,0.0393571978,0.0509803922,0.0201196302,0.0384969454
98125,53033000700,SEATTLE,WA,0.1237490377,0.1858823529,0.2066340402,0.133442129
98125,53033002100,SEATTLE,WA,0.0015877598,0,0.0005437738,0.0014227132
98125,53033000800,SEATTLE,WA,0.0540319477,0.0062745098,0.0125067972,0.0482885597
98125,53033001100,SEATTLE,WA,0.0517705928,0.0682352941,0.0152256661,0.0498368064
98113,53033002800,SEATTLE,WA,1,1,1,1
98134,53033009100,SEATTLE,WA,0,0.0025025025,0.002020202,0.0022115739
98134,53033010900,SEATTLE,WA,0,0.0125125125,0.0242424242,0.0136380391
